OBJECTID,longitude,latitude
122,-114.0391731,50.99415666
123,-114.0324861,51.03044813
124,-114.0472183,51.11427749
125,-114.0569118,50.99398108
126,-114.0022138,51.08671995
127,-114.0543136,51.05797424
128,-114.0272191,51.00705435
129,-114.072352,50.96100752
130,-114.0414619,51.1121412
131,-114.1152052,51.04838728
132,-114.072037,50.99442765
133,-114.0490998,50.98442582
134,-114.1201584,51.0086642
135,-113.9892189,51.06708562
136,-114.0357772,50.99320326
137,-114.1004817,50.91767965
138,-113.9587154,50.93424619
139,-114.1388927,51.10852285
140,-113.9517859,50.91280281
141,-113.9698012,51.1543718
142,-114.0076666,51.04126934
143,-114.1185014,51.05249233
144,-114.0026634,51.04562797
145,-114.0891536,51.13355695
146,-113.9886504,51.0778646
147,-114.0687585,51.03429992
148,-114.0995345,50.90533739
149,-114.0715556,51.1103317
150,-114.0339597,50.99780197
151,-114.032527,51.08155325
152,-114.018974,51.00842319
153,-114.083231,51.10907706
154,-114.2149746,51.13798525
155,-113.9819092,51.09644116
156,-114.1305452,51.06455305
157,-114.0947099,51.03851
158,-114.0947663,51.04696663
159,-114.0790723,51.04187139
160,-113.9585139,51.03785548
161,-114.1365165,51.08772632
162,-114.0194287,51.04885242
163,-114.1295962,51.07444663
164,-114.0625104,51.06637957
165,-113.9829193,51.05213687
166,-113.9633108,51.06710442
167,-114.0110983,51.04432017
168,-114.0716854,50.97957161
169,-114.0537044,50.98830455
170,-113.958757,51.04517546
171,-114.1271389,51.08221923
172,-114.0625145,51.07062001
173,-114.1221718,51.05278881
174,-114.0478138,51.09614753
175,-114.1527345,51.10019444
176,-114.129845,51.12978749
177,-114.0318569,51.08871136
178,-114.117812,51.07255622
179,-114.0676465,50.99764501
180,-114.1112162,51.03693455
181,-114.1634212,51.16509743
182,-114.0194287,51.04885242
183,-114.0099923,51.04382695
184,-114.0133989,51.0688535
185,-114.1153656,51.04789538
186,-114.0163617,50.9941248
187,-114.0716364,50.98962824
188,-114.0103747,51.04454987
189,-114.0859755,50.95059162
190,-114.0659757,51.11055865
191,-113.9580279,50.92470898
192,-113.9297317,51.06703025
193,-113.9887492,51.0815496
194,-114.2025926,51.11994713
195,-113.9585038,51.07400148
196,-113.9585,51.04094713
197,-113.9564398,51.05328498
198,-114.0404978,51.09589886
199,-114.0717123,51.00132867
200,-114.0478139,51.09614752
201,-114.1185014,51.05249233
202,-113.9990112,51.00875649
203,-114.11296,51.03821412
204,-113.9558574,51.05336172
205,-113.9355533,51.05247349
206,-114.0947425,51.04231472
207,-114.0208031,51.04758276
208,-114.0744486,50.91300714
209,-114.1357133,51.08824043
210,-114.1178257,51.05150289
211,-113.9585004,51.08588781
212,-113.9866163,50.8983209
213,-113.9892189,51.06708562
214,-113.9722235,51.11111331
215,-114.0597864,51.03345153
216,-114.2070783,51.12555573
217,-113.9823504,51.05701536
218,-114.0724034,50.89771419
219,-114.0655699,51.04468049
220,-113.9819239,51.07137682
221,-113.9294816,50.94941476
222,-114.0054955,51.03578445
223,-114.0191331,51.05356272
224,-114.0436198,51.04383187
